valid strings %,common strings %,jaccard index,iteration_no,generator
81.6923076923077,2.565913370998117,0.00014269126192748404,5000,dnc
86.1923076923077,3.145917001338688,0.0001845900072657769,10000,dnc
90.88461538461539,3.300888700804063,0.0002042312526183494,15000,dnc
91.84615384615384,4.292294807370184,0.0002683980303512348,20000,dnc
92.34615384615384,6.039150354019159,0.00037972727725066975,25000,dnc
91.76923076923077,5.46940486169321,0.0003417415726659116,30000,dnc
94.51923076923077,4.96439471007121,0.0003194754318155632,35000,dnc
94.07692307692308,5.662305805396566,0.00036269884604154146,40000,dnc
94.76923076923077,7.061688311688312,0.0004557073416024137,45000,dnc
87.19736842105263,3.138675116945828,0.0002714738419291349,5000,ntm
89.01315789473684,3.858093126385809,0.0003406710305624988,10000,ntm
92.23684210526316,4.550641940085592,0.0004164072279940528,15000,ntm
93.48684210526316,4.489795918367347,0.0004164072279940528,20000,ntm
93.34210526315789,5.553989286721173,0.000514358970342114,25000,ntm
93.94736842105263,7.226890756302521,0.0006737347887397503,30000,ntm
94.15789473684211,6.539966461710453,0.0006110234904586332,35000,ntm
94.90789473684211,8.054900873422985,0.0007586688691132976,40000,ntm
94.71052631578948,8.155043067518756,0.000766509664942564,45000,ntm
84.82222222222222,2.5019648938957295,0.00024882589352596713,5000,snn
88.67777777777778,2.706427765944117,0.00028140389275384974,10000,snn
91.73333333333333,4.299903100775194,0.00046257627622188545,15000,snn
92.61111111111111,3.5512897420515896,0.00038566775244299676,20000,snn
92.7,4.231091933357305,0.00045996901398540345,25000,snn
93.52222222222223,4.585956991802305,0.0005029905786997824,30000,snn
93.87777777777778,5.50360989466209,0.0006059966298768068,35000,snn
94.1,5.951115834218916,0.0006568555386997388,40000,snn
93.11764705882354,4.848389134554643,0.00040115564185556045,45000,snn
